id,name,position,team,vor,adp,bye,ppg
289,Dontayvion Wicks,WR,GB,-8.78,267.0,5.0,-1.43
290,Tennessee Titans,DEF,TEN,-8.82,240.0,10.0,-4.93
291,Joshua Palmer,WR,BUF,-8.84,189.0,7.0,-1.48
292,Jaleel McLaughlin,RB,DEN,-8.86,269.0,12.0,-3.29
293,Andrei Iosivas,WR,CIN,-8.88,284.0,10.0,-1.53
294,Ray-Ray McCloud,WR,ATL,-8.89,243.0,5.0,-1.54
295,Jordan James,RB,SF,-8.97,261.5,14.0,-3.41
296,Las Vegas Raiders,DEF,LV,-8.99,293.0,8.0,-5.1
297,Samaje Perine,RB,CIN,-9.1,295.0,10.0,-3.54
298,Will Dissly,TE,LAC,-9.13,330.0,12.0,2.47
299,Juwan Johnson,TE,NO,-9.14,242.5,11.0,2.46
300,Olamide Zaccheaus,WR,CHI,-9.15,284.0,5.0,-1.79
301,Roman Wilson,WR,PIT,-9.15,264.5,5.0,-1.79
302,Miami Dolphins,DEF,MIA,-9.17,251.0,12.0,-5.28
303,Noah Brown,WR,WAS,-9.2,325.0,12.0,-1.8399999999999999
304,Tutu Atwell,WR,LAR,-9.25,298.0,8.0,-1.8900000000000001
305,Devaughn Vele,WR,NO,-9.3,305.0,11.0,-1.9500000000000002
306,Antonio Gibson,RB,NE,-9.31,267.5,14.0,-3.74
307,Elijah Moore,WR,BUF,-9.48,329.0,7.0,-2.12
308,Christian Watson,WR,GB,-9.49,289.0,5.0,-2.13
309,Kayshon Boutte,WR,NE,-9.56,277.0,14.0,-2.2
310,Dyami Brown,WR,JAX,-9.56,256.5,8.0,-2.21
311,Troy Franklin,WR,DEN,-9.57,298.5,12.0,-2.22
312,Khalil Herbert,RB,IND,-9.69,297.0,11.0,-4.12
313,Brandin Cooks,WR,NO,-9.75,294.0,11.0,-2.39
314,Kenneth Gainwell,RB,PIT,-9.84,315.0,5.0,-4.27
315,Damien Martinez,RB,SEA,-9.91,301.0,8.0,-4.34
316,Jaxson Dart,QB,NYG,-10.01,220.0,14.0,-1.97
317,Audric Estime,RB,DEN,-10.02,294.0,12.0,-4.45
318,Harold Fannin,TE,CLE,-10.14,277.0,9.0,1.46
319,Kirk Cousins,QB,ATL,-10.16,270.5,5.0,-2.12
320,Tyler Higbee,TE,LAR,-10.17,295.0,8.0,1.43
321,Adonai Mitchell,WR,IND,-10.2,256.5,11.0,-2.85
322,Oronde Gadsden,TE,LAC,-10.25,283.0,12.0,1.35
323,Terrance Ferguson,TE,LAR,-10.41,248.0,8.0,1.19
324,Parker Washington,WR,JAX,-10.47,332.0,8.0,-3.11
325,Curtis Samuel,WR,BUF,-10.53,306.0,7.0,-3.17
326,Ja'Tavion Sanders,TE,CAR,-10.6,222.5,14.0,1.0
327,Chris Brooks,RB,GB,-10.62,235.0,12.0,-5.05
328,Keaton Mitchell,RB,BAL,-10.62,234.5,7.0,-5.05
329,Theo Johnson,TE,NYG,-10.68,262.0,14.0,0.92
330,Noah Fant,TE,CIN,-10.98,296.0,10.0,0.62
331,Shedeur Sanders,QB,CLE,-11.03,226.5,9.0,-2.99
332,Phil Mafah,RB,DAL,-11.31,333.0,10.0,-5.74
333,Jalen Royals,WR,KC,-11.43,235.5,10.0,-4.07
334,Brashard Smith,RB,KC,-11.56,213.5,10.0,-5.99
335,Isaac TeSlaa,WR,DET,-11.58,257.5,8.0,-4.23
336,Malik Washington,WR,MIA,-11.59,313.0,12.0,-4.24
337,Jalen Milroe,QB,SEA,-11.84,267.5,8.0,-3.8
338,Diontae Johnson,WR,CLE,-12.02,292.5,9.0,-4.66
339,Jamari Thrash,WR,CLE,-12.02,260.5,,-4.66
340,Xavier Restrepo,WR,TEN,-12.18,261.0,10.0,-4.82
341,Jimmy Garoppolo,QB,LAR,-12.19,255.0,8.0,-4.15
342,Spencer Rattler,QB,NO,-12.24,240.0,11.0,-4.2
343,KeAndre Lambert-Smith,WR,LAC,-12.91,304.0,12.0,-5.55
344,Jermaine Burton,WR,CIN,-13.99,323.0,10.0,-6.63
345,Tanner McKee,QB,PHI,-14.04,296.0,9.0,-6.0
346,Ben Sinnott,TE,WAS,-14.24,285.0,12.0,-2.64
347,Zack Kuntz,TE,NYJ,-17.34,259.5,,-5.74
