yahooId,name,team,position,status,injuryType,gp,bye,fanPts,preSeasonRank,actualRank,percentRostered,rushAtt,targets,receptions,rushYds,recYds,rushTd,recTd,fortyYdRush,fortyYdRec
40090,Marvin Mims Jr.,DEN,WR,Q,Undisclosed,1,10,3.29,343,300,1,0.5,2.1,1.4,2.5,14.8,0,0.1,0,0
41851,Savion Williams,GB,WR,,,1,11,2.49,344,326,0,0.5,1.8,1.1,2.1,11.6,0,0.1,0,0
42711,Zavion Thomas,CHI,WR,,,1,10,2.1,345,347,0,0.1,1.4,0.9,0.7,10.7,0,0.1,0,0
40952,Roman Wilson,PIT,WR,,,1,9,2.65,347,410,0,0,1.9,1.1,0,14.9,0,0.1,0,0
41864,Kyle Williams,NE,WR,,,1,11,1.1,348,366,1,0.1,0.5,0.4,0.3,6.2,0,0,0,0
30231,Mack Hollins,NE,WR,,,1,11,1.6,349,361,0,0,1.3,0.8,0.1,9.1,0,0,0,0
31857,Hollywood Brown,PHI,WR,,,1,10,2.49,350,321,1,0,1.6,1,0,13.7,0,0.1,0,0
30551,Kendrick Bourne,ARI,WR,,,1,14,3.23,351,297,0,0,2.7,1.5,0.1,19.5,0,0.1,0,0
43197,Noah Whittington,HOU,RB,Q,Ankle,0,8,0.24,352,561,0,0,0,0.1,0,1.2,0,0,0,0
34044,Jalen Tolbert,MIA,WR,,,1,6,2.78,353,285,1,0,1.6,1.3,0,15.2,0,0.1,0,0
42012,Brashard Smith,KC,RB,,,1,5,1.55,354,375,0,1.3,0.9,0.5,4.9,4,0,0,0,0
41083,Jordan Whittington,LAR,WR,,,1,11,1.28,355,424,0,0.1,0.9,0.6,0.4,6.6,0,0,0,0
29399,Tyreek Hill,MIA,WR,NA,Knee - ACL,0,6,0,358,838,5,0,0,0,0,0,0,0,0,0
26658,Zach Ertz,WAS,TE,NA,,0,7,0,359,638,0,0,0,0,0,0,0,0,0,0
30199,Kareem Hunt,KC,RB,NA,,0,5,0,361,1013,0,0,0,0,0,0,0,0,0,0
33399,Justin Fields,KC,QB,,,1,5,0.91,362,450,1,0.3,0,0,1.7,0,0,0,0,0
40892,Ricky Pearsall,SF,WR,IR,Knee - PCL,0,8,0,364,179,17,0,0,0,0,0,0,0,0,0
30213,Jonnu Smith,PIT,TE,NA,,0,9,0,366,1017,0,0,0,0,0,0,0,0,0,0
31928,Dawson Knox,BUF,TE,,,1,7,3.53,367,293,1,0,2.7,1.6,0,18.1,0,0.2,0,0
41819,Jayden Higgins,HOU,WR,IR,Knee - ACL,0,8,0,369,187,19,0,0,0,0,0,0,0,0,0
29236,Carson Wentz,MIN,QB,,,1,6,0.22,370,598,0,0,0,0,0.1,0,0,0,0,0
31852,Noah Fant,NO,TE,,,1,8,2.15,372,344,0,0,1.8,1.2,0,11.1,0,0.1,0,0
33495,Michael Carter,TEN,RB,,,1,9,0.41,373,553,0,0.3,0.1,0.2,1.2,1.5,0,0,0,0
30614,Taysom Hill,NO,TE,NA,,0,8,0,377,1100,0,0,0,0,0,0,0,0,0,0
32713,Cole Kmet,CHI,TE,,,1,10,3.33,380,308,1,0,2.3,1.6,0,17.2,0,0.1,0,0
41019,Audric Estime,NO,RB,Q,Ankle,1,8,0.75,382,473,0,0.6,0.2,0.3,2.4,2.3,0,0,0,0
34357,Bam Knight,ARI,RB,,,0,14,0.26,2040,565,0,0,0,0.2,0,1.2,0,0,0,0
31901,Josh Oliver,MIN,TE,,,1,6,1.99,2055,350,0,0,1.5,1,0,10.4,0,0.1,0,0
29315,Austin Hooper,ATL,TE,,,1,11,2.08,2058,331,0,0,1.6,1.1,0,11.7,0,0.1,0,0
