yahooId,name,team,position,status,rank,percentDrafted,adpPreseason,adpAll,adpLast7
42727,Brenen Thompson,LAC,WR,Q,314,,,,
41904,Elic Ayomanor,TEN,WR,,315,,,,
41003,Theo Johnson,NYG,TE,Q,316,,,,
41827,Mason Taylor,NYJ,TE,,317,,,,
40989,Erick All Jr.,CIN,TE,,318,,,,
40211,Andrei Iosivas,CIN,WR,,319,,,,
42598,Isaiah Bond,CLE,WR,,320,,,,
32018,Ty Johnson,BUF,RB,Q,321,,,,
34094,Calvin Austin III,NYG,WR,,322,,,,
41835,Elijah Arroyo,SEA,TE,,323,,,,
40964,Luke McCaffrey,WAS,WR,,324,,,,
42687,Carson Beck,ARI,QB,Q,325,,,,
41972,Devin Neal,NO,RB,Q,326,,,,
42695,Oscar Delp,NO,TE,,327,,,,
40430,Emari Demercado,KC,RB,,328,,,,
41903,Chimere Dike,TEN,WR,,329,,,,
31017,Christian Kirk,SF,WR,Q,330,,,,
41006,Sione Vaki,DET,RB,Q,331,,,,
40162,Roschon Johnson,CHI,RB,,332,,,,
32695,Brandon Aiyuk,SF,WR,D,333,,,,
42007,LeQuint Allen Jr.,JAX,RB,Q,334,,,,
40958,Trey Benson,ARI,RB,NA,335,,,,
41913,Trevor Etienne,CAR,RB,,336,,,,
41881,Kaleb Johnson,PIT,RB,,337,,,,
42139,Raheim Sanders,CLE,RB,,338,,,,
31906,Devin Singletary,NYG,RB,,339,,,,
41064,Jawhar Jordan,HOU,RB,Q,340,,,,
42762,Colbie Young,CIN,WR,,341,,,,
42819,CJ Daniels,LAR,WR,,342,,,,
40090,Marvin Mims Jr.,DEN,WR,Q,343,,,,
41851,Savion Williams,GB,WR,,344,,,,
42711,Zavion Thomas,CHI,WR,,345,,,,
40952,Roman Wilson,PIT,WR,,347,,,,
41864,Kyle Williams,NE,WR,,348,,,,
30231,Mack Hollins,NE,WR,,349,,,,
31857,Hollywood Brown,PHI,WR,,350,,,,
30551,Kendrick Bourne,ARI,WR,,351,,,,
43197,Noah Whittington,HOU,RB,Q,352,,,,
34044,Jalen Tolbert,MIA,WR,,353,,,,
42012,Brashard Smith,KC,RB,,354,,,,
41083,Jordan Whittington,LAR,WR,,355,,,,
29399,Tyreek Hill,MIA,WR,NA,358,3,131,131.4,
26658,Zach Ertz,WAS,TE,NA,359,,,,
30199,Kareem Hunt,KC,RB,NA,361,,,,
33399,Justin Fields,KC,QB,,362,,,,
40892,Ricky Pearsall,SF,WR,IR,364,43,114.7,114.7,
30213,Jonnu Smith,PIT,TE,NA,366,,,,
31928,Dawson Knox,BUF,TE,,367,,,,
41819,Jayden Higgins,HOU,WR,IR,369,16,133,133.1,
29236,Carson Wentz,MIN,QB,,370,,,,
31852,Noah Fant,NO,TE,,372,,,,
33495,Michael Carter,TEN,RB,,373,,,,
30614,Taysom Hill,NO,TE,NA,377,,,,
32713,Cole Kmet,CHI,TE,,380,,,,
41019,Audric Estime,NO,RB,Q,382,,,,
34357,Bam Knight,ARI,RB,,2040,,,,
31901,Josh Oliver,MIN,TE,,2055,,,,
29315,Austin Hooper,ATL,TE,,2058,,,,
33774,Brock Wright,DET,TE,,2059,,,,
30161,Joe Mixon,HOU,RB,NA,2060,,,,
32523,Greg Dortch,DET,WR,,2061,,,,
31005,Nick Chubb,HOU,RB,NA,2062,,,,
34709,KaVontae Turpin,DAL,WR,,2063,,,,
8795,Joe Flacco,CIN,QB,,2066,,,,
29274,Sterling Shepard,HOU,WR,,2067,,,,
32123,Olamide Zaccheaus,ATL,WR,,2069,,,,
34242,Kevin Austin Jr.,NO,WR,,2070,,,,
40093,Cedric Tillman,CLE,WR,Q,2071,,,,
31885,Miles Sanders,DAL,RB,NA,2072,,,,
31257,Tanner Hudson,CIN,TE,,2073,,,,
40905,J.J. McCarthy,MIN,QB,Q,2074,,,,
40995,Ja'Tavion Sanders,CAR,TE,,2075,,,,
40991,Devontez Walker,BAL,WR,,2076,,,,
42030,Tez Johnson,TB,WR,Q,2077,,,,
34068,Daniel Bellinger,TEN,TE,,2078,,,,
31981,Hunter Renfrow,CAR,WR,NA,2079,,,,
33471,Tommy Tremble,CAR,TE,,2080,,,,
32798,Gabe Davis,BUF,WR,NA,2081,,,,
33999,John Metchie III,CAR,WR,,2082,,,,
33469,Hunter Long,JAX,TE,,2084,,,,
41959,Jackson Hawes,BUF,TE,,2085,,,,
33403,Mac Jones,SF,QB,,2087,,,,
32775,Adam Trautman,DEN,TE,,2088,,,,
26650,DeAndre Hopkins,BAL,WR,NA,2089,,,,
31127,Tyler Conklin,DET,TE,,2090,,,,
29360,Demarcus Robinson,SF,WR,,2091,,,,
32494,Lil'Jordan Humphrey,DEN,WR,,2093,,,,
33550,Noah Gray,KC,TE,,2094,,,,
32727,Van Jefferson,WAS,WR,,2095,,,,
41949,Mitchell Evans,CAR,TE,,2096,,,,
42400,Jahdae Walker,CHI,WR,,2097,,,,
40164,Davis Allen,LAR,TE,Q,2098,,,,
40931,Ben Sinnott,WAS,TE,,2099,,,,
29631,Kalif Raymond,CHI,WR,,2100,,,,
32831,Tyler Johnson,DAL,WR,,2101,,,,
30511,Tim Patrick,NYJ,WR,,2102,,,,
40226,Elijah Higgins,ARI,TE,Q,2103,,,,
30175,JuJu Smith-Schuster,NYG,WR,NA,2104,,,,
30423,Austin Ekeler,WAS,RB,NA,2105,,,,
31090,Will Dissly,LAC,TE,NA,2106,,,,
32736,Antonio Gibson,NE,RB,NA,2107,,,,
30230,Josh Reynolds,NYJ,WR,NA,2108,,,,
33445,Tutu Atwell,MIA,WR,,2111,,,,
28457,Tyler Lockett,LV,WR,NA,2112,,,,
40074,Luke Musgrave,GB,TE,PUP,2114,,,,
29328,Nick Vannett,SEA,TE,,2115,,,,
41043,Spencer Rattler,NO,QB,,2116,,,,
31934,Alexander Mattison,MIA,RB,NA,2117,,,,
40630,Tyrell Shavers,BUF,WR,PUP,2118,,,,
27548,Brandin Cooks,NO,WR,NA,2119,,,,
40313,Mitch Tinsley,CIN,WR,,2120,,,,
30352,Noah Brown,LV,WR,NA,2121,,,,
31144,Marquez Valdes-Scantling,DAL,WR,,2122,,,,
41045,Bub Means,NO,WR,Q,2123,,,,
33470,Dyami Brown,WAS,WR,,2124,,,,
42291,CJ Dippre,NE,TE,,2125,,,,
42870,Carsen Ryan,CLE,TE,Q,2126,,,,
43087,RJ Maryland,GB,TE,NA,2127,,,,
42620,Carson Towt,IND,TE,IR,2128,,,,
42927,Evan Svoboda,LAC,TE,,2129,,,,
42004,Thomas Fidone II,NYG,TE,,2130,,,,
32442,Chris Myarick,LV,TE,,2131,,,,
32788,Albert Okwuegbunam Jr.,LV,TE,,2132,,,,
