yahooId,name,team,position,status,injuryType,gp,bye,fanPts,preSeasonRank,actualRank,percentRostered,rushAtt,targets,receptions,rushYds,recYds,rushTd,recTd,fortyYdRush,fortyYdRec
40119,Tyjae Spears,TEN,RB,,,16,9,110.52,137,137,30,104,47.3,33.9,418,236,3.2,1.6,0.2,0.1
34107,Tyler Allgeier,ARI,RB,,,16,14,82.89,138,138,41,111,16.8,13.7,444,95.3,3.5,0.3,0.2,0.1
34104,Khalil Shakir,BUF,WR,Q,Undisclosed,16,7,124.51,139,139,39,1.8,88.6,62.4,9.6,657,0,4.1,0,1
42730,Jonah Coleman,DEN,RB,,,16,10,63.1,140,140,25,66.4,13.1,13.3,280,121,2.1,0.7,0,0
40971,MarShawn Lloyd,GB,RB,,,4,11,64.26,141,141,19,76.3,13.7,12.3,315,82.8,2.5,0.6,0.1,0
41902,Woody Marks,HOU,RB,,,16,8,100.84,142,142,36,122,25.1,20.2,482,164,3.4,1.1,0.2,0.1
40075,Zach Charbonnet,SEA,RB,PUP,Knee - ACL,10,11,95.36,143,143,54,104,18.8,15.7,437,113,4.7,0.8,0.4,0.1
26699,Keenan Allen,IND,WR,,,14,13,81.3,144,144,18,0,75.5,40.3,0,445,0,2.7,0,0.4
34085,Jake Ferguson,DAL,TE,,,16,14,119.33,145,145,82,0.4,89.9,66.7,1.5,559,0,5.2,0,0.1
40915,Adonai Mitchell,NYJ,WR,,,16,13,83.4,146,146,13,1.7,62.6,35.3,5.4,466,0,2.9,0,1
31868,Deebo Samuel Sr.,SF,WR,,,15,8,102.34,147,147,47,11.1,68.6,46.7,42,517,0.5,3.4,0,0.9
42744,Mike Washington Jr.,LV,RB,,,16,13,70.73,148,148,41,86.5,21.4,14.2,350,117,2.2,0.6,0.1,0.1
34099,Chig Okonkwo,WAS,TE,,,16,7,98.18,149,149,49,0,75.9,52.7,0,520,0,3.3,0,0.1
40954,Jalen McMillan,TB,WR,Q,Knee,16,10,91.52,150,150,18,3.8,59,37.6,21.8,498,0.1,3.3,0,0.4
34147,Jalen Nailor,LV,WR,,,16,13,99.55,152,152,21,1.7,68.9,40.8,10.2,564,0,3.5,0,1
99001,Travis Hunter,JAX,WR,,,15,7,75.49,153,153,25,2.5,51.5,34.3,10.3,390,0,3,0,0.3
34054,Brian Robinson,ATL,RB,,,16,11,75.86,154,154,21,104,15.6,10.6,435,64.7,3.1,0.3,0.1,0
42796,Emmett Johnson,KC,RB,,,14,5,57.2,155,155,9,61.3,14.9,12.5,258,111,1.8,0.7,0.1,0
30973,Sam Darnold,SEA,QB,,,16,11,242.58,156,156,36,38.2,0,0,128,0,1,0,0,0
31838,Daniel Jones,IND,QB,,,15,13,233.47,157,157,25,46.6,0,0,191,0,1.8,0,0,0
31107,Dalton Schultz,HOU,TE,,,16,8,106.36,158,158,24,0,85.8,57.8,0,561,0,3.6,0,0.2
40078,Brenton Strange,JAX,TE,,,16,7,113.15,159,159,42,0,80.8,54.1,0,608,0,4.2,0,0.2
29269,Hunter Henry,NE,TE,,,16,11,118.92,160,160,57,0,82.8,53.8,0,620,0,5,0,0.3
41048,Tyrone Tracy Jr.,NYG,RB,,,16,8,93.52,161,161,35,118,25.3,20.1,493,159,2.2,1,0.7,0.1
40201,Dontayvion Wicks,PHI,WR,,,15,10,71.06,163,163,8,0.7,49.5,31.1,5.5,397,0,2.5,0,0.4
41087,Ryan Flournoy,DAL,WR,,,16,14,90.65,166,166,8,2.8,57.8,41.3,14.6,495,0.1,3,0,0.8
41935,Jaydon Blue,DAL,RB,,,12,14,60.19,167,167,8,74.1,14.9,11.3,306,77.8,2.3,0.4,0.1,0
40029,Bryce Young,CAR,QB,,,16,5,227.12,169,169,15,46.3,0,0,207,0,1.7,0,0,0
40030,C.J. Stroud,HOU,QB,,,16,8,261.49,170,170,27,52.2,0,0,214,0,1.5,0,0,0
40980,Ray Davis,BUF,RB,,,16,7,65.19,171,171,10,71.8,14.3,12.8,317,104,2.1,0.6,0.1,0
40981,Braelon Allen,NYJ,RB,,,16,13,65.23,172,172,14,75.9,15.8,11.4,308,87.1,2.7,0.6,0.1,0
41860,Pat Bryant,DEN,WR,,,15,10,73.56,173,173,5,0.7,54,33.2,3,403,0,2.7,0,0.3
42773,Cyrus Allen,KC,WR,,,8,5,63.04,174,174,9,0.9,46.2,28.6,2.5,348,0,2.2,0,0.3
30180,Alvin Kamara,NO,RB,Q,Knee - MCL,12,8,71.53,177,177,31,77.4,26.7,22.2,293,147,1.9,1,0,0.1
41001,AJ Barner,SEA,TE,,,16,11,98.56,178,178,18,8,69,48.2,21.4,467,0.5,3.8,0,0.1
41786,Cam Ward,TEN,QB,,,16,9,230.62,179,179,17,42.9,0,0,166,0,1.6,0,0,0
41840,Tre' Harris,LAC,WR,Q,Undisclosed,16,7,86.09,180,180,6,0.9,61.3,37.2,4.2,466,0,3.2,0,0.9
41907,Dylan Sampson,CLE,RB,,,16,11,84.71,181,181,15,80.1,32.5,27.6,304,218,1.8,1.5,0.1,0.1
34207,Isiah Pacheco,DET,RB,Q,Knee - MCL,15,6,76.08,183,183,27,101,17.1,12.8,413,81.4,3.1,0.5,0.1,0
40114,Tre Tucker,LV,WR,,,16,13,91.33,184,184,13,8.1,72,39.5,43.2,488,0.1,2.6,0,0.9
41831,Terrance Ferguson,LAR,TE,,,16,11,80.48,185,185,12,0,48.3,32.5,0,439,0,3.4,0,0.2
42702,Ja'Kobi Lane,BAL,WR,,,16,13,75,186,186,12,0.3,50.9,31.8,2,398,0,3.1,0,0.4
34036,Greg Dulcich,MIA,TE,,,14,6,101.72,189,189,11,0,66.1,48.9,0,548,0,3.7,0,0.2
42763,Nicholas Singleton,TEN,RB,,,15,9,46.96,194,194,6,48.4,8.9,10.3,202,97,1.5,0.7,0,0
42697,Caleb Douglas,MIA,WR,,,16,6,75.71,195,195,5,0.3,60.3,34.2,1.1,416,0,2.7,0,0.4
32685,Jerry Jeudy,CLE,WR,,,16,11,96.24,196,196,13,1,76,42.4,5.2,539,0,3.3,0,0.9
31840,T.J. Hockenson,MIN,TE,,,16,6,104.41,197,197,24,0,83,58.1,0,547,0,3.4,0,0.1
41058,Malik Washington,MIA,WR,,,16,6,93.39,198,198,11,14.4,68.3,44.8,74.4,394,0.5,3.2,0,0.2
41097,Devaughn Vele,NO,WR,,,16,8,78.68,199,199,2,0.3,64.2,35.4,3.3,437,0,2.7,0,0.5
41885,Jaylin Noel,HOU,WR,Q,Hamstring,16,8,74.42,200,200,3,5.3,53.5,32.8,24.3,384,0.1,2.5,0,0.3
42638,Kenyon Sadiq,NYJ,TE,Q,Abdomen,16,13,85.3,201,201,23,0.7,61.8,44.2,2.3,459,0,2.8,0,0.1
42652,Omar Cooper Jr.,NYJ,WR,,,16,13,80.07,204,204,11,1.7,55.9,36.3,6.3,433,0,2.9,0,0.8
42712,Kaelon Black,SF,RB,,,12,8,46.79,205,205,8,56.4,7.3,7.3,231,67.8,2,0.2,0.1,0
32887,Jauan Jennings,MIN,WR,,,16,6,90.66,206,206,13,0,63.7,40.5,0,496,0,3.3,0,1
42820,Demond Claiborne,MIN,RB,,,16,6,27.65,207,207,2,29.3,3.2,6,133,60.5,0.9,0.2,0,0
41951,Oronde Gadsden,LAC,TE,,,16,7,87.58,208,208,28,0,56.4,40.8,0,469,0,3.3,0,0.6
41344,George Holani,SEA,RB,,,12,11,35.93,209,209,2,44.2,8.4,8.2,174,61,1.1,0.3,0.1,0
33412,Najee Harris,NYG,RB,,,14,8,32.94,210,210,4,31.5,11.4,8.8,127,68.5,1.3,0.3,0.1,0
41031,Isaiah Davis,NYJ,RB,Q,Knee,16,13,48.41,214,214,1,43.3,19.1,14.4,191,118,1.5,0.2,0.1,0.1
30996,Calvin Ridley,TEN,WR,,,14,9,71.37,215,215,5,1.1,54.6,27.9,6.1,417,0,2.5,0,0.5
29325,Jacoby Brissett,ARI,QB,,,11,14,194.81,216,216,8,35.1,0,0,138,0,0.9,0,0,0
42623,Fernando Mendoza,LV,QB,,,14,13,182.88,218,218,14,50.2,0,0,183,0,1.8,0,0.1,0
41865,Isaac TeSlaa,DET,WR,,,16,6,75.42,219,219,9,0.7,42.2,28.7,3,398,0,3.3,0,0.8
33415,Rashod Bateman,BAL,WR,,,16,13,79.68,221,221,3,0.3,56.9,32.2,1.3,417,0,3.5,0,0.9
42701,Zachariah Branch,ATL,WR,,,16,11,69.8,222,222,5,4.5,41.6,29.5,10,352,0.2,2.1,0,0.8
41969,Ollie Gordon II,MIA,RB,Q,Ribs,12,6,35.68,225,225,2,43.5,6.9,6.5,171,41.7,1.6,0.3,0.1,0
41905,Gunnar Helm,TEN,TE,,,16,9,87.58,226,226,4,0,68.6,47.7,0,440,0,3.3,0,0.1
30218,James Conner,ARI,RB,Q,Foot,14,14,41.1,228,228,6,44,11.4,9.5,182,75,1.4,0.6,0,0
42809,Kaytron Allen,WAS,RB,,,12,7,43.55,229,229,3,52.3,7.6,7.8,227,72.3,1.6,0.2,0.1,0
42780,Adam Randall,BAL,RB,Q,Undisclosed,12,13,33.95,230,230,1,31.3,8.1,8.3,139,77.5,1.1,0.3,0,0
41843,Jack Bech,LV,WR,,,16,13,58.39,232,232,2,0.3,49.5,28.1,3,327,0,1.8,0,0.3
34005,Tyquan Thornton,KC,WR,,,8,5,58.28,233,233,1,0,38.2,20.2,0,340,0,2.3,0,0.4
33971,Jahan Dotson,ATL,WR,,,12,11,65.02,235,235,1,0.7,51.5,28,5.3,367,0,2.2,0,0.4
42693,Antonio Williams,WAS,WR,,,16,7,56.27,236,236,4,1.6,37,25.7,7.2,306,0,2,0,0.2
40224,Kayshon Boutte,HOU,WR,,,16,8,71.89,237,237,5,0,43.7,28.2,0,412,0,2.6,0,0.9
30182,Cooper Kupp,SEA,WR,,,15,11,69.58,238,238,10,0.3,50.7,31.1,1.1,375,0,2.7,0,0.4
42706,Ted Hurst III,TB,WR,,,12,10,60.22,239,239,2,0.7,49.2,27.9,4.3,335,0,2,0,0.3
42696,Malachi Fields,NYG,WR,,,16,8,59.18,242,242,4,0.3,44.8,26.6,2,328,0,2.1,0,0.3
40742,Sean Tucker,TB,RB,,,16,10,48.65,243,243,3,60.4,8.2,5.9,251,37.9,2.7,0.2,0.1,0
32843,Darnell Mooney,NYG,WR,,,16,8,58.31,244,244,2,1.2,39.1,23,4.5,323,0,2.2,0,0.8
41052,Kimani Vidal,LAC,RB,,,16,7,52.87,250,250,3,56.8,16.4,11.9,236,90.9,1.8,0.6,0.1,0
40097,Tank Dell,HOU,WR,Q,Knee - ACL + MCL,14,8,94.36,252,252,12,3.7,73.1,39.1,19.9,516,0,3.4,0,0.6
26662,Geno Smith,NYJ,QB,,,15,13,202.43,253,253,5,45.2,0,0,159,0,0.9,0,0,0
7200,Aaron Rodgers,PIT,QB,,,12,9,203.62,254,254,10,20.6,0,0,58.6,0,0.3,0,0,0
32675,Tua Tagovailoa,ATL,QB,,,10,11,129.17,255,255,4,15,0,0,35.3,0,0.1,0,0,0
31945,Justice Hill,BAL,RB,,,12,13,59.02,256,256,3,29.1,37.4,26,128,207,0.9,1.2,0,0.1
42859,Seth McGowan,IND,RB,,,12,13,32.42,258,258,1,35.9,7.3,7.6,152,70,0.9,0.2,0.1,0
25812,Kirk Cousins,LV,QB,,,3,13,55.21,260,260,4,8,0,0,15.9,0,0.1,0,0,0
41983,Tahj Brooks,CIN,RB,,,12,6,23.24,261,261,0,29.8,5.1,3.8,113,32.4,1,0.1,0,0
41937,DJ Giddens,IND,RB,Q,Hamstring,12,13,36.89,262,262,1,38.9,11.6,9.2,160,68,1.3,0.3,0.1,0
40889,Michael Penix Jr.,ATL,QB,Q,Knee - ACL,7,11,121.43,263,263,3,16.2,0,0,55.7,0,0.4,0,0,0
42716,Chris Bell,MIA,WR,,,12,6,55.64,264,264,3,0.3,37.3,25.7,1,302,0,2.1,0,0.2
40911,Keon Coleman,BUF,WR,Q,Foot,12,7,60.08,268,268,2,1.4,45.5,25.1,6,314,0,2.5,0,0.3
32803,Colby Parkinson,LAR,TE,,,16,11,60.41,269,269,2,0,38.5,28.6,0,284,0,2.9,0,0.1
41930,Shedeur Sanders,CLE,QB,,,7,11,98.3,270,270,3,21.4,0,0,86.1,0,0.9,0,0,0
42669,Germie Bernard,PIT,WR,,,16,9,70.59,271,271,3,2.4,53.7,32.2,6.2,388,0,2.3,0,0.8
34084,Charlie Kolar,LAC,TE,,,16,7,45.16,272,272,0,0.3,30.8,21.1,0.7,247,0,1.6,0,0.1
34062,Cade Otton,TB,TE,Q,Undisclosed,16,10,84.5,273,273,3,0,70.4,46.6,0,455,0,2.6,0,0.1
40890,Xavier Legette,CAR,WR,Q,Ankle,14,5,60.18,276,276,1,1.3,46.9,27.9,6.3,312,0,2.4,0,0.3
42758,Bryce Lance,NO,WR,,,14,8,32.9,278,278,0,0,23.3,16,0,191,0,0.9,0,0.2
41010,Jaylen Wright,MIA,RB,,,12,6,46.48,279,279,2,56.3,11.4,8.5,239,63.8,1.8,0.2,0.1,0
32003,Darius Slayton,NYG,WR,,,16,8,56.72,280,280,1,0.6,42.8,22.9,2.3,325,0,2,0,0.8
40707,Emanuel Wilson,SEA,RB,Q,Hamstring,16,11,40.96,281,281,2,47.4,13.4,9.5,193,67.2,1.5,0.2,0.1,0
42676,Eli Stowers,PHI,TE,Q,Hamstring,16,10,54.02,282,282,2,1.9,30.1,25.7,6.8,273,0,2.2,0,0
33443,Pat Freiermuth,PIT,TE,,,16,9,97.11,283,283,7,0,68.4,47.5,0,516,0,3.6,0,0.2
